Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Submitted via,Date sent to company,Company response to consumer,Timely response?,Complaint ID
2026-06-18T12:13:00.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Unauthorized transactions or other transaction problem,None,"I am filing this complaint regarding XXXX handling of a disputed transaction and the resulting negative balance on my account.

A payment of {$770.00} was sent to my XXXX  account from a friends XXXX  account. Shortly afterward, my friend informed me that her XXXX  account had been compromised and that the transaction was unauthorized. Once she regained access to XXXX  and created a new account, I immediately returned the full {$770.00} to her. I did not keep, spend, or otherwise benefit from any of these funds. 

My friend reported the unauthorized activity to both XXXX  and her credit card issuer. Following the dispute process, XXXX  placed a negative balance of {$770.00} on my account and restricted my access. 

My friend later worked directly with her credit card issuer, XXXX. XXXX subsequently terminated its fraud investigation after the fraud claim was withdrawn. I obtained documentation from XXXX confirming that the fraud claim had been withdrawn and that the investigation was terminated. I submitted this documentation to XXXX, along with proof that I had already returned the full {$770.00} to the sender. 

Since then, I have repeatedly contacted XXXX  seeking clarification and resolution. XXXX  representatives informed me that the matter was under review and that the investigation team was working on the case. On XX/XX/XXXX, I was advised that the dispute was being investigated and that I would receive an update by email. I was later told to follow up if I had not received an update by XX/XX/XXXX. 

Despite providing documentation and following XXXX instructions, I have not received a final determination, explanation, or resolution. My account continues to reflect a negative balance of {$770.00}, and I remain unable to fully use my account. 

I am requesting that XXXX  conduct a final review of this matter, provide a written explanation of its determination, remove the negative balance if appropriate based on the evidence submitted, and restore normal access to my account. 

I believe I acted in good faith by promptly returning the funds and fully cooperating with all parties involved. My concern is that XXXX  continues to hold me responsible despite the fact that the funds were returned and the cardholders fraud claim was later withdrawn.",None,"Paypal Holdings, Inc",IL,60614,None,Web,2026-06-18T12:26:55.000Z,Closed with explanation,Yes,23335476
2026-06-18T16:06:33.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Unauthorized transactions or other transaction problem,None,"On XX/XX/year>, my PayPal account suffered a third-party credential takeover. A hacker logged in while I was asleep and sent XXXX unauthorized payments totaling {$43.00} to a Paypal account belonging to XXXX XXXX ( Case ID : XXXX ). I do not know this person, and never authorized these transactions. 

They drained the {$18.00} I had in my balance and attempted a bank transfer for the remaining {$25.00}. My bank rightly rejected the transfer for insufficient funds, but PayPal has now pushed my account into a negative balance of - {$25.00}. I immediately secured my account with XXXX and filed an XXXX report, but PayPal support refuses to investigate the login logs or honor my consumer protection rights under Regulation XXXX I am seeking a full refund of my {$18.00} and for the {$25.00} negative balance to be wiped out. 

I have filed an XXXX report and sent it to Paypal XXXX  team already",None,"Paypal Holdings, Inc",OR,97306,None,Web,2026-06-18T16:46:18.000Z,Closed with monetary relief,Yes,23344838
2026-06-18T16:39:38.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,None,"I am filing this complaint against Bank of America regarding a denied fraud claim involving XXXX transfers totaling {$1800.00}. 

On XX/XX/year>, I sent a XXXX payment of {$360.00}. On XX/XX/year>, I sent two additional XXXX payments of {$700.00} and {$800.00}, for a total of {$1800.00}.

I was induced to send these funds to an individual who claimed to be making hotel reservations on my behalf. Based on the representations made to me, I believed legitimate hotel reservations had been secured. After receiving my payments, the recipient cancelled the hotel reservations and failed to provide the promised services.

This was not a purchase dispute or a simple disagreement over services. The recipient intentionally misrepresented the transaction in order to obtain funds. The hotel reservations were cancelled after payment was received, and I suffered a financial loss of {$1800.00}. This was a fraud scheme.

I promptly reported the fraud to Bank of America and filed a fraud claim. Bank of America investigated and later denied my claim in a letter dated XX/XX/year> ( Claim Number : XXXX ), stating that the transfers were authorized and that the funds could not be recovered.

I understand that I personally initiated the XXXX transfers. However, my complaint is that Bank of America treated this matter solely as an authorized payment issue and did not adequately address the underlying fraud. The funds were obtained through deception and false representations.

I am requesting that Bank of America conduct a further review of this claim, explain what investigative steps were taken regarding the recipient account, and provide a more detailed explanation of why this fraudulent activity does not qualify for reimbursement or additional recovery efforts.

I have supporting documentation, including XXXX payment records, communications with the recipient, hotel cancellation information, and Bank of Americas denial letter.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,95014,None,Web,2026-06-18T16:56:06.000Z,Closed with explanation,Yes,23345327
2026-06-18T18:11:35.000Z,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,None,"around XX/XX/year> XXXX XXXX purchased XXXXXX/XX/XXXXof. credits for gamblimg siteXX/XX/XXXXthru the platform XX/XX/XXXXvia paypal. now he is claiming fraud against me and paypal has sided with him. i will be sueing paypal to protect my good name.attached is screenshots of XXXX XXXX sending me funds online VOLUNTARLIY! i have sent screenshots to paypal to no avail. see you in court paypal! 
regards XXXXXX/XX/XXXXXXXX",None,"Paypal Holdings, Inc",CA,91741,None,Web,2026-06-18T18:25:22.000Z,Closed with explanation,Yes,23349031
2026-06-30T03:10:55.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Unauthorized transactions or other transaction problem,None,,None,"Block, Inc.",NC,28025,None,Web,2026-06-30T03:25:19.000Z,Closed with explanation,Yes,23695857
2026-06-30T22:27:26.000Z,Checking or savings account,Checking account,Opening an account,Account opened without my consent or knowledge,,None,"EQUIFAX, INC.",NY,10002,None,Web,2026-06-30T22:33:25.000Z,Closed with non-monetary relief,Yes,23731555
2026-06-30T15:09:00.000Z,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,None,,None,JPMORGAN CHASE & CO.,MO,63116,None,Web,2026-06-30T15:20:18.000Z,Closed with explanation,Yes,23710669
2026-06-30T16:11:36.000Z,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,None,,None,"Early Warning Services, LLC",VA,23235,None,Web,2026-06-30T16:17:34.000Z,Closed with explanation,Yes,23713527
2026-06-30T19:51:10.000Z,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,None,,None,CAPITAL ONE FINANCIAL CORPORATION,NY,14217,Older American,Web,2026-07-08T21:11:51.000Z,Closed with explanation,Yes,23724884
2026-06-30T20:30:24.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Unauthorized transactions or other transaction problem,None,,None,"Paypal Holdings, Inc",PA,151XX,None,Web,2026-06-30T20:50:01.000Z,Closed with explanation,Yes,23726921
